time,temperature_2m_mean,temperature_2m_min,temperature_2m_max,wet_bulb_temperature_2m_mean,dew_point_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,wind_speed_10m_mean,pressure_msl_mean,rain_binary,snow_binary
2021-01-01,0.6,-1.3,1.8,-0.0,-0.3,94,84,5.4,1008.2,1,1
2021-01-02,-0.5,-3.2,2.7,-1.6,-2.2,88,39,5.0,1014.3,0,0
2021-01-03,0.2,-0.5,1.0,-1.0,-1.9,86,99,11.5,1014.1,1,1
2021-01-04,-0.3,-0.8,0.4,-1.4,-2.1,88,99,8.6,1016.5,1,1
2021-01-05,0.2,-0.6,1.7,-0.8,-1.3,90,99,6.5,1016.5,1,1
2021-01-06,0.2,-1.8,1.4,-0.5,-0.8,93,89,9.1,1013.7,1,1
2021-01-07,-0.2,-1.3,1.1,-1.6,-2.6,84,98,13.0,1012.0,1,1
2021-01-08,-0.2,-1.8,1.1,-1.0,-1.4,92,96,10.0,1013.4,1,1
2021-01-09,-1.1,-2.4,-0.1,-1.7,-2.0,94,92,10.8,1022.1,0,0
2021-01-10,-1.0,-3.5,1.5,-2.4,-3.6,83,63,6.8,1024.7,0,0
2021-01-11,-0.2,-1.2,1.4,-2.5,-4.8,72,96,16.5,1019.6,0,0
2021-01-12,1.1,-0.1,2.1,0.1,-0.4,90,90,21.7,1007.3,1,1
2021-01-13,0.5,-0.4,1.5,-0.8,-1.7,85,79,23.6,1011.5,1,1
2021-01-14,-1.1,-4.9,1.2,-2.2,-3.0,87,71,12.9,1017.7,1,1
2021-01-15,-2.2,-5.5,-0.2,-3.4,-4.5,84,85,8.7,1025.2,0,0
2021-01-16,-2.8,-4.0,-1.4,-4.7,-6.8,74,89,10.5,1025.5,0,0
2021-01-17,-2.8,-4.6,-1.2,-4.6,-6.5,76,99,6.1,1019.7,1,1
2021-01-18,1.3,-1.1,2.3,0.7,0.4,94,100,16.0,1020.8,1,1
2021-01-19,2.6,1.5,5.1,1.7,1.2,90,100,23.8,1011.0,1,1
2021-01-20,4.9,2.0,7.3,2.2,-0.2,70,89,20.3,1004.0,0,0
2021-01-21,6.7,4.7,9.1,3.6,0.7,66,84,23.3,996.3,1,0
2021-01-22,4.4,-1.4,9.1,2.9,1.9,84,84,16.7,993.2,1,0
2021-01-23,1.3,-0.3,4.1,0.5,0.0,91,100,6.5,997.4,1,1
2021-01-24,0.0,-0.6,1.0,-0.6,-0.8,94,97,10.7,996.2,1,1
2021-01-25,-1.0,-3.0,1.7,-2.2,-3.1,86,92,6.3,1004.4,0,0
2021-01-26,-0.7,-2.3,0.8,-1.5,-2.0,91,88,14.1,1013.5,1,1
2021-01-27,0.0,-1.8,1.8,-1.1,-1.7,88,99,13.1,1014.1,1,1
